service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
73776,1,1,1,1,1,0,0,20180326,20180615
73774,0,0,0,0,0,1,0,20180331,20180616
74061,1,1,1,1,1,0,0,20180326,20180615
74059,1,1,1,1,1,0,0,20180326,20180615
73775,0,0,0,0,1,0,0,20180330,20180615
73771,1,1,0,1,1,0,0,20180330,20180615
73773,0,0,0,0,1,0,0,20180330,20180615
74058,1,1,1,1,1,0,0,20180326,20180615
74060,1,1,1,1,1,0,0,20180326,20180615
73772,0,0,1,0,0,0,0,20180330,20180615
74062,1,1,1,1,1,0,0,20180326,20180615
74063,1,1,1,1,1,0,0,20180326,20180615
72905,0,0,0,0,0,0,1,20180325,20180610
72906,1,1,1,1,1,0,0,20180326,20180615
72907,1,1,0,1,1,0,0,20180326,20180615
72908,0,0,1,0,0,0,0,20180326,20180615
72909,0,0,0,0,1,0,0,20180326,20180615
72910,0,0,0,0,0,1,0,20180331,20180616
73209,1,1,1,1,1,0,0,20180326,20180615
73210,1,1,1,1,1,0,0,20180326,20180615
73211,1,1,1,1,1,0,0,20180326,20180615
73777,1,1,1,1,1,0,0,20180326,20180615
73212,1,1,1,1,1,0,0,20180326,20180615
73778,1,1,1,1,1,0,0,20180326,20180615
73213,1,1,1,1,1,0,0,20180326,20180615
73779,1,1,1,1,1,0,0,20180326,20180615
73214,1,1,1,1,1,0,0,20180326,20180615
73780,1,1,1,1,1,0,0,20180326,20180615
73215,1,1,0,1,1,0,0,20180326,20180615
73781,1,1,1,1,1,0,0,20180326,20180615
73216,0,0,1,0,0,0,0,20180326,20180615
73782,1,1,1,1,1,0,0,20180326,20180615
73217,1,1,1,1,1,0,0,20180326,20180615
73783,1,1,1,1,1,0,0,20180326,20180615
73218,1,1,1,1,1,0,0,20180326,20180615
73784,0,0,0,0,0,0,1,20180325,20180610
73219,1,1,1,1,1,0,0,20180326,20180615
73785,0,0,0,0,0,1,0,20180324,20180609
73220,1,1,1,1,1,0,0,20180326,20180615
73786,1,1,1,1,1,0,0,20180326,20180615
73221,1,1,1,1,1,0,0,20180326,20180615
73787,1,1,1,1,0,0,1,20180325,20180614
73755,1,1,1,1,1,0,0,20180326,20180615
73788,1,1,0,1,1,0,0,20180326,20180615
73756,1,1,1,1,1,0,0,20180326,20180615
73789,1,1,1,0,1,0,0,20180326,20180615
73757,1,1,1,1,1,0,0,20180326,20180615
73790,1,1,1,1,0,0,0,20180326,20180615
73758,0,0,0,0,0,0,1,20180325,20180610
73791,1,0,1,1,1,0,0,20180326,20180615
73759,0,0,0,0,0,1,0,20180324,20180609
73792,1,1,0,0,1,0,0,20180326,20180615
73760,1,1,1,1,1,0,0,20180326,20180607
73793,0,0,0,1,0,0,0,20180326,20180615
73761,1,1,1,1,0,0,1,20180325,20180606
73794,0,0,1,0,0,0,0,20180326,20180615
73762,1,0,1,0,1,0,0,20180326,20180607
73795,0,0,0,0,1,0,0,20180326,20180615
73763,0,1,0,1,0,0,0,20180326,20180607
73796,0,1,0,0,0,0,0,20180326,20180615
73764,1,1,0,1,1,0,0,20180326,20180607
73797,0,0,1,1,0,0,0,20180326,20180615
73765,0,0,1,0,0,0,0,20180326,20180607
73798,0,0,0,0,0,1,0,20180331,20180616
73766,0,0,0,0,1,0,0,20180326,20180607
73799,0,0,0,0,1,0,0,20180330,20180615
73767,1,1,1,1,1,0,0,20180330,20180615
74055,1,1,1,1,1,0,0,20180326,20180615
73768,1,1,1,1,0,0,1,20180329,20180614
74056,1,1,1,1,1,0,0,20180326,20180615
73769,1,0,1,0,1,0,0,20180330,20180615
74057,1,1,1,1,1,0,0,20180326,20180615
73770,0,1,0,1,0,0,0,20180330,20180615
