service_id,date,exception_type
72905,20180528,1
72906,20180528,2
72907,20180528,2
72908,20180528,2
72909,20180528,2
73211,20180326,2
73212,20180326,2
73210,20180326,2
73213,20180326,2
73211,20180327,2
73212,20180327,2
73210,20180327,2
73213,20180327,2
73211,20180328,2
73212,20180328,2
73210,20180328,2
73213,20180328,2
73211,20180329,2
73212,20180329,2
73210,20180329,2
73213,20180329,2
73211,20180330,2
73212,20180330,2
73210,20180330,2
73213,20180330,2
73211,20180402,2
73212,20180402,2
73210,20180402,2
73213,20180402,2
73211,20180403,2
73212,20180403,2
73210,20180403,2
73213,20180403,2
73211,20180404,2
73212,20180404,2
73210,20180404,2
73213,20180404,2
73211,20180405,2
73212,20180405,2
73210,20180405,2
73213,20180405,2
73211,20180406,2
73212,20180406,2
73210,20180406,2
73213,20180406,2
73211,20180409,2
73210,20180409,2
73213,20180409,2
73211,20180410,2
73212,20180410,2
73210,20180410,2
73213,20180410,2
73211,20180411,2
73212,20180411,2
73210,20180411,2
73213,20180411,2
73211,20180412,2
73212,20180412,2
73210,20180412,2
73213,20180412,2
73211,20180413,2
73212,20180413,2
73210,20180413,2
73213,20180413,2
73211,20180416,2
73212,20180416,2
73210,20180416,2
73213,20180416,2
73211,20180417,2
73212,20180417,2
73210,20180417,2
73213,20180417,2
73211,20180418,2
73212,20180418,2
73210,20180418,2
73213,20180418,2
73211,20180419,2
73212,20180419,2
73210,20180419,2
73213,20180419,2
73211,20180420,2
73212,20180420,2
73210,20180420,2
73213,20180420,2
73211,20180423,2
73212,20180423,2
73210,20180423,2
73213,20180423,2
73211,20180424,2
73212,20180424,2
73210,20180424,2
73213,20180424,2
73211,20180425,2
73212,20180425,2
73210,20180425,2
73213,20180425,2
73211,20180426,2
73212,20180426,2
73210,20180426,2
73213,20180426,2
73211,20180427,2
73212,20180427,2
73210,20180427,2
73213,20180427,2
73211,20180430,2
73212,20180430,2
73210,20180430,2
73213,20180430,2
73211,20180501,2
73212,20180501,2
73210,20180501,2
73213,20180501,2
73211,20180502,2
73212,20180502,2
73210,20180502,2
73213,20180502,2
73211,20180503,2
73212,20180503,2
73210,20180503,2
73213,20180503,2
73211,20180504,2
73212,20180504,2
73210,20180504,2
73213,20180504,2
73211,20180507,2
73212,20180507,2
73210,20180507,2
73213,20180507,2
73211,20180508,2
73212,20180508,2
73210,20180508,2
73213,20180508,2
73211,20180509,2
73212,20180509,2
73210,20180509,2
73213,20180509,2
73211,20180510,2
73212,20180510,2
73210,20180510,2
73213,20180510,2
73211,20180511,2
73212,20180511,2
73210,20180511,2
73213,20180511,2
73211,20180514,2
73212,20180514,2
73210,20180514,2
73213,20180514,2
73211,20180515,2
73212,20180515,2
73210,20180515,2
73213,20180515,2
73211,20180516,2
73212,20180516,2
73210,20180516,2
73213,20180516,2
73211,20180517,2
73212,20180517,2
73210,20180517,2
73213,20180517,2
73211,20180518,2
73212,20180518,2
73210,20180518,2
73213,20180518,2
73211,20180521,2
73212,20180521,2
73210,20180521,2
73213,20180521,2
73211,20180522,2
73212,20180522,2
73210,20180522,2
73213,20180522,2
73211,20180523,2
73212,20180523,2
73210,20180523,2
73213,20180523,2
73211,20180524,2
73212,20180524,2
73210,20180524,2
73213,20180524,2
73211,20180525,2
73212,20180525,2
73210,20180525,2
73213,20180525,2
73212,20180529,2
73210,20180529,2
73213,20180529,2
73211,20180530,2
73212,20180530,2
73210,20180530,2
73213,20180530,2
73211,20180531,2
73212,20180531,2
73210,20180531,2
73213,20180531,2
73211,20180601,2
73212,20180601,2
73210,20180601,2
73213,20180601,2
73211,20180604,2
73212,20180604,2
73210,20180604,2
73213,20180604,2
73211,20180605,2
73212,20180605,2
73210,20180605,2
73211,20180606,2
73212,20180606,2
73210,20180606,2
73213,20180606,2
73211,20180607,2
73212,20180607,2
73210,20180607,2
73211,20180608,2
73212,20180608,2
73210,20180608,2
73213,20180608,2
73211,20180611,2
73212,20180611,2
73210,20180611,2
73213,20180611,2
73211,20180612,2
73212,20180612,2
73210,20180612,2
73213,20180612,2
73211,20180613,2
73212,20180613,2
73210,20180613,2
73213,20180613,2
73211,20180614,2
73212,20180614,2
73210,20180614,2
73213,20180614,2
73211,20180615,2
73212,20180615,2
73213,20180615,2
73757,20180326,2
73756,20180326,2
73755,20180326,2
73220,20180326,2
73219,20180326,2
73218,20180326,2
73221,20180326,2
73757,20180327,2
73756,20180327,2
73755,20180327,2
73220,20180327,2
73219,20180327,2
73218,20180327,2
73221,20180327,2
73757,20180328,2
73756,20180328,2
73755,20180328,2
73220,20180328,2
73219,20180328,2
73218,20180328,2
73221,20180328,2
73757,20180329,2
73755,20180329,2
73219,20180329,2
73218,20180329,2
73221,20180329,2
73757,20180330,2
73756,20180330,2
73755,20180330,2
73220,20180330,2
73219,20180330,2
73218,20180330,2
73221,20180330,2
73757,20180402,2
73756,20180402,2
73755,20180402,2
73220,20180402,2
73219,20180402,2
73218,20180402,2
73221,20180402,2
73757,20180403,2
73756,20180403,2
73755,20180403,2
73220,20180403,2
73219,20180403,2
73218,20180403,2
73221,20180403,2
73757,20180404,2
73756,20180404,2
73755,20180404,2
73220,20180404,2
73219,20180404,2
73218,20180404,2
73221,20180404,2
73757,20180405,2
73756,20180405,2
73755,20180405,2
73220,20180405,2
73219,20180405,2
73218,20180405,2
73221,20180405,2
73757,20180406,2
73756,20180406,2
73755,20180406,2
73220,20180406,2
73219,20180406,2
73218,20180406,2
73221,20180406,2
73757,20180410,2
73756,20180410,2
73755,20180410,2
73220,20180410,2
73219,20180410,2
73218,20180410,2
73221,20180410,2
73757,20180411,2
73756,20180411,2
73755,20180411,2
73220,20180411,2
73219,20180411,2
73218,20180411,2
73221,20180411,2
73757,20180412,2
73756,20180412,2
73755,20180412,2
73220,20180412,2
73219,20180412,2
73218,20180412,2
73221,20180412,2
73757,20180413,2
73756,20180413,2
73755,20180413,2
73220,20180413,2
73219,20180413,2
73218,20180413,2
73221,20180413,2
73757,20180416,2
73756,20180416,2
73755,20180416,2
73220,20180416,2
73219,20180416,2
73218,20180416,2
73221,20180416,2
73757,20180417,2
73756,20180417,2
73755,20180417,2
73220,20180417,2
73219,20180417,2
73218,20180417,2
73221,20180417,2
73757,20180418,2
73756,20180418,2
73755,20180418,2
73220,20180418,2
73219,20180418,2
73218,20180418,2
73221,20180418,2
73757,20180419,2
73756,20180419,2
73755,20180419,2
73220,20180419,2
73219,20180419,2
73218,20180419,2
73221,20180419,2
73757,20180420,2
73756,20180420,2
73755,20180420,2
73220,20180420,2
73219,20180420,2
73218,20180420,2
73221,20180420,2
73757,20180423,2
73756,20180423,2
73755,20180423,2
73220,20180423,2
73219,20180423,2
73218,20180423,2
73221,20180423,2
73757,20180424,2
73756,20180424,2
73755,20180424,2
73220,20180424,2
73219,20180424,2
73218,20180424,2
73221,20180424,2
73757,20180425,2
73756,20180425,2
73755,20180425,2
73220,20180425,2
73219,20180425,2
73218,20180425,2
73221,20180425,2
73757,20180426,2
73756,20180426,2
73755,20180426,2
73220,20180426,2
73219,20180426,2
73218,20180426,2
73221,20180426,2
73757,20180427,2
73756,20180427,2
73755,20180427,2
73220,20180427,2
73219,20180427,2
73218,20180427,2
73221,20180427,2
73757,20180430,2
73756,20180430,2
73755,20180430,2
73220,20180430,2
73219,20180430,2
73218,20180430,2
73221,20180430,2
73757,20180501,2
73756,20180501,2
73755,20180501,2
73220,20180501,2
73219,20180501,2
73218,20180501,2
73221,20180501,2
73757,20180502,2
73756,20180502,2
73755,20180502,2
73220,20180502,2
73219,20180502,2
73218,20180502,2
73221,20180502,2
73757,20180503,2
73756,20180503,2
73755,20180503,2
73220,20180503,2
73219,20180503,2
73218,20180503,2
73221,20180503,2
73757,20180504,2
73756,20180504,2
73755,20180504,2
73220,20180504,2
73219,20180504,2
73218,20180504,2
73221,20180504,2
73757,20180507,2
73756,20180507,2
73755,20180507,2
73220,20180507,2
73219,20180507,2
73218,20180507,2
73221,20180507,2
73757,20180508,2
73756,20180508,2
73755,20180508,2
73220,20180508,2
73219,20180508,2
73218,20180508,2
73221,20180508,2
73757,20180509,2
73756,20180509,2
73755,20180509,2
73220,20180509,2
73219,20180509,2
73218,20180509,2
73221,20180509,2
73757,20180510,2
73756,20180510,2
73755,20180510,2
73220,20180510,2
73219,20180510,2
73218,20180510,2
73221,20180510,2
73757,20180511,2
73756,20180511,2
73755,20180511,2
73220,20180511,2
73219,20180511,2
73218,20180511,2
73221,20180511,2
73757,20180514,2
73756,20180514,2
73755,20180514,2
73220,20180514,2
73219,20180514,2
73218,20180514,2
73221,20180514,2
73757,20180515,2
